ISO3,Date,Cumulative_cases,Cumulative_deaths
BEL,2024-02,4859765,34339
BEL,2024-03,4861104,34339
BEL,2024-04,4861658,34339
BEL,2024-05,4862394,34339
BEL,2024-06,4863706,34339
BEN,2020-01,0,0
BEN,2020-02,0,0
BEN,2020-03,3,0
BEN,2020-04,60,0
BEN,2020-05,239,3
BEN,2020-06,1149,16
BEN,2020-07,1770,35
BEN,2020-08,2145,40
BEN,2020-09,2325,40
BEN,2020-10,2557,41
BEN,2020-11,2974,43
BEN,2020-12,3205,44
BEN,2021-01,3786,48
BEN,2021-02,5634,70
BEN,2021-03,7100,90
BEN,2021-04,7720,97
BEN,2021-05,8058,101
BEN,2021-06,8170,104
BEN,2021-07,8324,107
BEN,2021-08,12492,127
BEN,2021-09,22958,154
BEN,2021-10,24749,161
BEN,2021-11,24850,161
BEN,2021-12,24935,161
BEN,2022-01,26450,163
BEN,2022-02,26567,163
BEN,2022-03,26593,163
BEN,2022-04,26605,163
BEN,2022-05,26789,163
BEN,2022-06,27160,163
BEN,2022-07,27316,163
BEN,2022-08,27490,163
BEN,2022-09,27782,163
BEN,2022-10,27912,163
BEN,2022-11,27980,163
BEN,2022-12,27985,163
BEN,2023-01,27990,163
BEN,2023-02,27999,163
BEN,2023-03,28013,163
BEN,2023-04,28014,163
BEN,2023-05,28014,163
BEN,2023-06,28014,163
BEN,2023-07,28014,163
BEN,2023-08,28031,163
BEN,2023-09,28036,163
BEN,2023-10,28036,163
BEN,2023-11,28036,163
BEN,2023-12,28036,163
BEN,2024-01,28036,163
BEN,2024-02,28036,163
BEN,2024-03,28036,163
BEN,2024-04,28036,163
BEN,2024-05,28036,163
BEN,2024-06,28036,163
BFA,2020-01,0,0
BFA,2020-02,0,0
BFA,2020-03,222,15
BFA,2020-04,632,42
BFA,2020-05,855,53
BFA,2020-06,959,53
BFA,2020-07,1100,53
BFA,2020-08,1368,55
BFA,2020-09,2008,56
BFA,2020-10,2451,65
BFA,2020-11,2856,68
BFA,2020-12,6344,78
BFA,2021-01,10682,120
BFA,2021-02,12024,142
BFA,2021-03,12692,145
BFA,2021-04,13263,156
BFA,2021-05,13431,166
BFA,2021-06,13478,168
BFA,2021-07,13543,169
BFA,2021-08,13762,171
BFA,2021-09,14183,181
BFA,2021-10,14901,216
BFA,2021-11,15711,281
BFA,2021-12,17040,317
BFA,2022-01,20624,366
BFA,2022-02,20751,375
BFA,2022-03,20813,379
BFA,2022-04,20865,383
BFA,2022-05,20899,384
BFA,2022-06,21044,387
BFA,2022-07,21128,387
BFA,2022-08,21128,387
BFA,2022-09,21631,387
BFA,2022-10,21631,387
BFA,2022-11,21631,387
BFA,2022-12,22006,395
BFA,2023-01,22040,396
BFA,2023-02,22056,396
BFA,2023-03,22056,396
BFA,2023-04,22056,396
BFA,2023-05,22056,396
BFA,2023-06,22056,396
